sekwencja,nowy_znak
MA7511inf,A.18
MA7511inf,E.31.28.47
MA7511inf,B.31.21.R
MA7511inf,B.27.30
MA7511inf,B.24.28
MA7511inf,A.6
MA7511inf,A.36
MA7511sup,A.243
MA7511sup,G
MA7511sup,A.18
MA7511sup,B.24.28
MA7511sup,B.27.30
MA7511sup,B.29.30
MA7511sup,A.6
MA7511sup,B.24.11
MA7511sup,A.1.16
MA7511sup,G
MA7511sup,B.27.30
MA7524inf,A.2.47
MA7524inf,B.50.R
MA7524inf,E.17
MA7524inf,C.24.2
MA7524inf,B.31.R
MA7524inf,B.29.10
MA7524sup,B.50.R
MA7524sup,E.17
MA7524sup,C.24.2
MA7524sup,B.31.R
MA7524sup,B.29.10
MA7524sup,E.17
MA7525,A.38
MA7525,G
MA7525,B.31.21
MA7525,A.6
MA7525,B.29.23
MA7525,A.18
MA7525,B.27.30.10
MA7525,B.31.21
MA7525,B.31.11
MA7540,B.24.28.10
MA7540,A.1.16
MA7540,A.44
MA7540,B.27.30
MA7540,A.38
MA7540,A.11
MA7540,G
MA7540,B.31.21
MA7547,B.24.11.3
MA7547,B.29.23.25.B.25
MA754X,A.44
MA754X,H.31.22
MA754X,A.38
MA754X,B.27.30
MA754X,A.36
MA754X,B.29.23.B.30
MA754X,A.6
MA754X,B.29.30
MA754X,C.24.1
MA754X,B.31.28
MA754X,B.24.11
MA754X,G
MA7550,B.29.23.B.35
MA7550,E.17.3
MA7554,A.38
MA7554,B.24.11
MA7554,B.27.23.B.30
MA7554,A.4
MA7554,H.24.28
MA7554,A.6
MA7554,B.31.21
MA7554,G
MA7566,0
MA7566,0
MA7566,E.17
MA7566,B.31.28.30
MA7566,B.24.11
MA7566,I.31.1.3
MAL0341(2.3.595),B.29.25
MAL0341(2.3.595),C.24.1
MAL23.030.10,A.251
MAL23.030.10,B.29.23.B.35
MIMAC12inf,E.17
MIMAC12inf,B.24.28
MIMAC12inf,C.24.1
MIMAC12inf,B.29.23.B.30
MIMAC12inf,A.19
MIMAC12inf,B.24.28
MIMAC12inf,C.24.1
MIMAC12inf,B.29.23
MIMAC12sup,B.24.28
MIMAC12sup,C.24.1
MIMAC12sup,B.29.23.B.30
MIMAC12sup,A.19
MIMAC12sup,B.24.28
MIMAC12sup,C.24.1
MIMAC12sup,B.29.23
MIMAC12sup,E.17
MIMAC139,B.29.23.B.30
MIMAC139,A.1.16
MIMAC139,A.44
MIMAC139,A.38
MIMAC139,G
MIMAC139,B.24.11
MIMAC139,B.27.30
MIMAC139,A.36
MIMO-MAC164,B.31.11
MIMO-MAC164,B.27.23
MIMO-MAC164,E.17.48
MIMO-MAC164,B.24.25
MIMO-MAC164,A.13
MIMO-MAC164,C.24.1
MIMO-MAC164,B.24.28
MIMO-MAC164,A.36
MIMO-MAC164,G
MIMO-MAC164,B.31.12
MIMO-MAC164,B.29.23
MIMOMA244inf,C.24.1
MIMOMA244inf,B.24.28
MIMOMA244inf,A.1.3
MIMOMA244inf,A.37
MIMOMA244inf,B.24.28
MIMOMA244inf,C.24.1
MIMOMA244sup,B.24.28
MIMOMA244sup,A.1.3
MIMOMA244sup,C.24.1
MIMOMA244sup,A.1.3
MIMOMA244sup,A.37
MIMOMA244sup,B.24.28
MIMOMA256,A.36
MIMOMA256,B.27.30
MIMOMA256,B.24.11
MIMOMA256,B.29.30
MIMOMA256,A.4
MIMOMA256,B.31.28
MIMOMA256,B.31.21
MIMOMA256,G
MIMOMA256,A.6
MIMOMA256,H.24.28
MIMOMA257,G
MIMOMA257,B.24.11
MIMOMA257,B.27.30
MIMOMA257,A.1.16
MIMOMA257,A.6
MIMOMA257,E.17
MIMOMA257,B.27.30
MIMOMA257,A.12
MIMOMA258,G
MIMOMA258,B.24.11
MIMOMA258,B.27.30
MIMOMA258,A.1.16
MIMOMA258,A.6
MIMOMA258,E.17
MIMOMA258,B.27.30
MIMOMA258,A.12
MIMOMA259,A.38
MIMOMA259,B.29.35
MIMOMA259,A.6
MIMOMA259,G
MIMOMA259,H.31.22
MIMOMA259,A.36
MIMOMA259,B.27.30
MIMOMA259,B.24.11
MIMOMA263,A.1.16
MIMOMA263,B.29.23.10
MIMOMA263,A.38
MIMOMA263,B.27.30
MIMOMA263,B.31.21
MIMOMA263,G
MIMOMA263,B.24.11
MIMOMA263,B.31.28.30
MIMOMA265,A.36
MIMOMA265,G
MIMOMA265,B.31.12
MIMOMA265,A.4
MIMOMA265,A.38
MIMOMA265,E.31.22
MIMOMA265,A.6
MIMOMA265,B.31.21.R
MIMOMA277,B.27.30
MIMOMA277,A.38
MIMOMA277,G
MIMOMA277,B.31.21
MIMOMA277,B.29.30
MIMOMA277,A.6
MIMOMA277,B.31.28
MIMOMA277,B.24.28.10
MIMOMA284,B.31.11
MIMOMA284,B.31.21
MIMOMA284,A.6
MIMOMA284,B.27.30
MIMOMA284,A.38
MIMOMA284,B.31.5
MIMOMA284,A.6
MIMOMA284,C.24.1
MIMOMA284,G
MIMOMA284,B.29.30
MIMoMA297,A.44
MIMoMA297,B.24.11
MIMoMA297,A.44
MIMoMA297,B.24.11
MIMOMA303,A.38
MIMOMA303,E.31.28.47
MIMOMA303,B.24.12
MIMOMA303,B.27.23
MIMOMA303,C.24.1
MIMOMA303,G
MIMOMA303,A.6
MIMOMA303,B.31.21
MIMOMAC125,B.24.11
MIMOMAC125,B.29.25
MIMOMAC125,A.12
MIMOMAC125,E.17
MIMOMAC125,B.24.25
MIMOMAC125,G
MIMOMAC125,B.27.30
MIMOMAC128inf,A.6
MIMOMAC128inf,G
MIMOMAC128inf,B.31.28
MIMOMAC128inf,B.31.11
MIMOMAC128sup,G
MIMOMAC128sup,B.31.28
MIMOMAC128sup,B.31.11
MIMOMAC128sup,B.27.30
MIMOMAC165,A.38
MIMOMAC165,B.31.28
MIMOMAC165,B.24.11
MIMOMAC165,B.27.30
MIMOMAC165,A.36
MIMOMAC165,G
MIMOMAC165,A.6
MIMOMAC165,B.24.28
MIMOMAC54cent,A.41
MIMOMAC54cent,H.24.28
MIMOMAC54cent,A.36
MIMOMAC54cent,A.18
