sekwencja,nowy_znak
MUS2sup,B.24.11
MUS20,C.24.1
MUS20,E.17
MUS20,B.24.28.R
MUS20,C.24.1
MUS20,E.17
MUS20,B.24.28.R
MUS20,C.24.1
MUS20,E.17
MUS20,B.24.28.R
MUS21,B.24.10
MUS21,B.29.30
MUS21,B.24.10
MUS21,B.29.30
MUS23,B.29.23.B.35
MUS3inf,A.242
MUS3inf,K.102.51
MUS3inf,A.38
MUS3inf,B.24.11
MUS3inf,B.31.28
MUS3inf,E.31.22
MUS3inf,B.24.10
MUS3inf,B.29.30
MUS3inf,B.31.11
MUS3inf,G
MUS3inf,A.6
MUS3inf,B.24.11
MUS3inf,B.27
MUS3sup,K.102.51
MUS3sup,A.38
MUS3sup,B.24.11
MUS3sup,B.31.28
MUS3sup,E.31.22
MUS3sup,B.24.10
MUS3sup,B.29.30
MUS3sup,B.31.11
MUS3sup,G
MUS3sup,A.6
MUS3sup,B.24.11
MUS3sup,0
MUS3sup,0
MUS4,A.6
MUS4,G
MUS4,B.31.12
MUS4,B.29.30
MUS4,B.31.11
MUS4,B.27.30
MUS4,A.4
MUS4,A.36
MUS5,G
MUS5,B.24.11
MUS5,B.24.28.7
MUS5,B.24.11
MUS5,B.29.30
MUS5,B.31.21
MUS5,C.24.1
MUS6,B.24.23.23.B.28.30.10
MUS6,E.17.3
MUS7,B.24.23.23.B.28.30.10
MUS7,E.17.3
MUS8,E.17.3
MUS8,B.29.23.B.25
MUS9,B.24.11
MUS9,B.29.23.B.35
NM-35-14-1,B.24.11
NM-35-14-1,B.29.23.B.25
NM-D6037,A.36
NM-D6037,B.29.23
NM-D6037,A.38
NM-D6037,B.27.30
NM-D6037,B.24.28
NM-D6037,A.6
NM-D6037,G
NM-D6037,B.24.11
NM-D6037,B.31.28
NM277,G
NM277,B.24.11
NM277,B.27.23
NM277,A.6
NM277,B.31.21
NM277,A.4
NM277,B.29.23
NM277,C.24.1
NM278,A.38
NM278,B.31.21
NM278,B.27.30
NM278,E.17
NM278,B.31.28
NM278,A.36
NM278,B.24.28.10
NM278,B.29.30
NMAI-15.8337,G
NMAI-15.8337,B.24.11
NMAI-15.8337,B.29.23.B.30
NMAI-15.8337,A.6
NMAI-15.8337,B.24.28
NMAI-15.8337,C.24.1
NMAI-15.8337,B.27.30
NMAI-15.8337,C.24
NMAI-19.904,E.17.3
NMAI-19.904,B.29.25
NMAI-19.905cent,B.24.11
NMAI-19.905cent,B.24.28
NMAI-19.905cent,A.13
NMAI-19.905cent,K.103.53
NMAI-19.905cent,B.27.30
NMAI-19.905cent,A.36
NMAI-19.905cent,B.24.11.7
NMAI-19.905cent,A.6
NMAI-19.905cent,B.29.23
NMAI-19.905inf,B.29.23
NMAI-19.905inf,B.24.11
NMAI-19.905inf,B.24.28
NMAI-19.905inf,A.13
NMAI-19.905inf,K.103.53
NMAI-19.905inf,B.27.30
NMAI-19.905inf,A.36
NMAI-19.905inf,B.24.11.7
NMAI-19.905inf,A.6
NMAI-19.905sup,B.24.28
NMAI-19.905sup,A.13
NMAI-19.905sup,K.103.53
NMAI-19.905sup,B.27.30
NMAI-19.905sup,A.36
NMAI-19.905sup,B.24.11.7
NMAI-19.905sup,A.6
NMAI-19.905sup,B.29.23
NMAI-19.905sup,B.24.11
NMAI-243967,B.29.35
NMAI-243967,B.31.25
NMAI-8169-IZ,A.38
NMAI-8169-IZ,G
NMAI-8169-IZ,B.24.12
NMAI-8169-IZ,A.36
NMAI-8169-IZ,A.2.17
NMAI-8169-IZ,B.31.21
NMAI-8169-IZ,0
NMAI-8169-IZ,0
NMAI-8169-IZ,0
NMAI-92576,B.24.11
NMAI-92576,B.29.35
NMAI-97658,B.29.23.B.25
NMAI-97658,E.17.3
NMAI-XXX,B.31.21
NMAI-XXX,B.27.30
NMAI-XXX,A.4
NMAI-XXX,B.24.28.7
NMAI-XXX,B.31.21
NMAI-XXX,B.29.30
NMAI-XXX,A.6
NMAI-XXX,G
NMAI-XXX,B.24.28.30.7
NMAI-XXX,A.6
NMAI-XXX,B.29.30
PENN-29-143-9,A.17.47
PENN-29-143-9,B.24.28.30
PENN-29-143-9,A.1.40
PENN-29-143-9,C.24.1
PENN-29-143-9,B.24.28.30
PENN-29-143-9,A.33.3
PENN-29-143-9,A.37
PENN-29-143-9,C.110
PENN-43-24-1,A.1.16
PENN-43-24-1,B.31.28
PENN-43-24-1,A.13
PENN-43-24-1,G
PENN-43-24-1,B.24.11
PENN-43-24-1,B.27.30
PENN-43-24-1,A.6
PENN-43-24-1,B.29.30
VKGM45.16.1,A.38
VKGM45.16.1,B.27.30
VKGM45.16.1,B.24.11
VKGM45.16.1,B.31.28
VKGM45.16.1,A.6
VKGM45.16.1,E.31.28.47
VKGM45.16.1,G
VKGM45.16.1,B.31.21
TOCMAL-MA0840,B.50.10
TOCMAL-MA0840,A.17
TOCMAL-MA0840,B.50.10
TOCMAL-MA0840,A.17
TOCMAL-MA0840,B.50.10
TOCMAL-MA0840,A.17
TOCML400032,B.31.28.B.32
TOCML400032,I.31.17
TOCML400032,C.24
TOCML400032,C.29
TOCML400032,B.31.28.B.32
TOCML400032,I.31.17
MLP1448,B.31.28.B.32
MLP1448,B.29.30.10
MLP1448,C.24.1
MLP1448,B.31.28.30.B.25
MLP1448,A.17
MLP1448,B.31.28.B.32
MLP1448,B.29.30.10
MLP1448,C.24.1
MLP1448,B.31.28.B.25
MLP1448,B.31.23.23.B.25.8
COLA59,B.29.25
COLA59,E.17.48.3
PRIVMRA,A.37
PRIVMRA,B.50.10
PRIVMRA,B.31.246
PRIVMRA,E.1.47
PRIVMRA,C.24.47.1
PRIVMRA,A.37
PRIVMRA,B.31.246
PRIVMRA,E.1.47
PRIVMRA,C.24.47.1
MIMOMA522inf,B.24.11
MIMOMA522inf,B.27.30
MIMOMA522inf,A.36
MIMOMA522inf,B.31.28
MIMOMA522sup,B.27.30
MIMOMA522sup,A.36
MIMOMA522sup,B.31.28
MIMOMA522sup,B.31.21
MIMOMA518,B.27.30
MIMOMA518,B.24.11
MIMOMA518,B.27.23.23
MIMOMA518,B.24.11
MOMA532,E.17.3
MOMA532,B.29.35
MOMA540,B.29.25.B.23
MOMA540,E.17.3
MOMAC176sup,B.50.10
MOMAC176sup,B.24.28.30
MOMAC176sup,A.17
MOMAC176sup,0
MOMAC176sup,0
MOMAC176sup,C.24.15
MOMAC176sup,B.31.21
MOMAC176sup,C.24.28
MOMAC176sup,0
MOMAC176sup,A.37
MOMAC176sup,B.24.25
MOMAC176sup,A.19.10
MOMAC176sup,A.18.47
MOMAC176sup,B.24.25
MOMAC176sup,B.29.25
MOMAC176sup,C.24.1
MOMAC176inf,C.24.1
MOMAC176inf,B.50.10
MOMAC176inf,B.24.28.30
MOMAC176inf,A.17
MOMAC176inf,0
MOMAC176inf,?
MOMAC176inf,C.24
MOMAC176inf,0
MOMAC176inf,C.24.28
MOMAC176inf,?
MOMAC176inf,A.37
MOMAC176inf,B.31.25
MOMAC176inf,A.19
MOMAC176inf,A.18.17
MOMAC176inf,B.31.25
MOMAC176inf,B.29.25
MUNSA-0006691,B.31.28
MUNSA-0006691,B.24.28.10
MUNSA-0006691,G
MUNSA-0006691,C.27
MUNSA-0006691,A.6
MUNSA-0006691,A.38
MUNSA-0006691,B.27.30
MUNSA-0006691,A.1.16
MUNSA-0006692,G
MUNSA-0006692,B.24.11
MUNSA-0006692,B.29.30.11
MUNSA-0006692,A.38
MUNSA-0006692,G
MUNSA-0006692,B.24.12
MUNSA-0006692,B.27.23
MUNSA-0006692,A.6
WIENMV-174.317,B.27.30
WIENMV-174.317,B.24.11
WIENMV-174.317,B.29.30
WIENMV-174.317,A.6
MUNSA-CS29,A.36
MUNSA-CS29,B.29.23
MUNSA-CS29,A.36
MUNSA-CS29,0
MUNSA-CS33,E.17.3
MUNSA-CS33,B.29.35
MUNSA-005216,A.17.3
MUNSA-005216,B.29.25
MUNSA-CS68,B.29.25.29
MUNSA-CS68,A.37
MUNSA-CS68,E.17
MUNSA-CS68,B.29.25.29
MUNSA-CS68,A.37
MUNSA-CS68,E.17
MTMNA-1734-678,I.24.32
MTMNA-1734-678,B.24.25.B.28.30
MTMNA-1734-678,C.24.1
MTMNA-1734-678,I.24.32
MTMNA-1734-678,B.24.25.B.28.30
MTMNA-1734-678,I.24.32
MTMNA-1734-678,B.24.28.30.B.25
MTMNA-1632-576,B.31.25
MTMNA-1632-576,A.17
MTMNA-1632-576,B.31.25
MTMNA-1632-576,A.17
MTMNA-1632-576,B.31.25
MTMNA-1632-576,E.31.47
MTMNA-1632-576,B.31.25
MTMNA-1632-576,A.17
MUNSA-0007688,B.24.10
MUNSA-0007688,B.27.25.B.30
MUNSA-0007688,A.36
MUNSA-0007688,B.24.28
MUNSA-0007688,B.24.11
MUNSA-0007688,G
MUNSA-0007688,A.12
MUNSA-0007688,B.29.30.10
MUNSA-0007686,A.37
MUNSA-0007686,B.29.25
MUNSA-0007686,A.37
MUNSA-0007686,B.29.25
MUNSA-0007686,A.37
MUNSA-0007686,B.29.25
MUNSA-0007686,A.37
MUNSA-0007686,B.29.25
MUNSA-0007686,A.37
MUNSA-0007686,B.29.25
HMV-63.54.12inf,E.31.47
HMV-63.54.12inf,B.29.25
HMV-63.54.12inf,A.19
HMV-63.54.12inf,B.31.25
HMV-63.54.12inf,E.31.47
HMV-63.54.12inf,B.29.25
HMV-63.54.12inf,A.19
HMV-63.54.12inf,E.31.113
HMV-63.54.12inf,E.31.47
HMV-63.54.12inf,A.37
HMV-63.54.12inf,A.19
HMV-63.54.12inf,B.31.25
HMV-63.54.12inf,A.17
HMV-63.54.12inf,B.29.25
HMV-63.54.12inf,A.19
HMV-63.54.12inf,E.31.113
HMV-63.54.12cent,B.29.25
HMV-63.54.12cent,A.19
HMV-63.54.12cent,B.31.25
HMV-63.54.12cent,A.17
HMV-63.54.12cent,B.29.25
HMV-63.54.12cent,A.19
HMV-63.54.12cent,E.31.113
HMV-63.54.12cent,A.17
HMV-63.54.12cent,B.29.25
HMV-63.54.12cent,B.29.25
HMV-63.54.12cent,B.31.25
HMV-63.54.12cent,A.17
HMV-63.54.12cent,B.29.25
HMV-63.54.12cent,A.19
HMV-63.54.12cent,E.31.113
HMV-63.54.12cent,A.17
COLA27,B.24.28
COLA27,A.1.47
COLA27,H.24.28
COLA27,E.31.47
COLA27,C.24.3
COLA27,B.29.30
